Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
3174061001138,https://kawalpemilu.org/h/3174061001138,null,null,null,null,null,null
3174061001139,https://kawalpemilu.org/h/3174061001139,null,null,null,null,null,null
3174061001140,https://kawalpemilu.org/h/3174061001140,null,null,null,null,null,null
3174061001141,https://kawalpemilu.org/h/3174061001141,null,null,null,null,null,null
3174061001142,https://kawalpemilu.org/h/3174061001142,null,null,null,null,null,null
3174061001143,https://kawalpemilu.org/h/3174061001143,null,null,null,null,null,null
3174061001144,https://kawalpemilu.org/h/3174061001144,null,null,null,null,null,null
3174061001145,https://kawalpemilu.org/h/3174061001145,null,null,null,null,null,null
3174061001146,https://kawalpemilu.org/h/3174061001146,null,null,null,null,null,null
3174061001147,https://kawalpemilu.org/h/3174061001147,null,null,null,null,null,null
3174061001148,https://kawalpemilu.org/h/3174061001148,null,null,null,null,null,null
3174061001149,https://kawalpemilu.org/h/3174061001149,null,null,null,null,null,null
3174061001150,https://kawalpemilu.org/h/3174061001150,null,null,null,null,null,null
3174061001151,https://kawalpemilu.org/h/3174061001151,null,null,null,null,null,null
3174061001152,https://kawalpemilu.org/h/3174061001152,null,null,null,null,null,null
3174061001153,https://kawalpemilu.org/h/3174061001153,null,null,null,null,null,null
3174061001154,https://kawalpemilu.org/h/3174061001154,null,null,null,null,null,null
3174061001155,https://kawalpemilu.org/h/3174061001155,null,null,null,null,null,null
3174061001156,https://kawalpemilu.org/h/3174061001156,null,null,null,null,null,null
3174061001157,https://kawalpemilu.org/h/3174061001157,null,null,null,null,null,null
3174061001158,https://kawalpemilu.org/h/3174061001158,null,null,null,null,null,null
3174061001159,https://kawalpemilu.org/h/3174061001159,null,null,null,null,null,null
3174061001160,https://kawalpemilu.org/h/3174061001160,null,null,null,null,null,null
3174061001161,https://kawalpemilu.org/h/3174061001161,null,null,null,null,null,null
3174061001162,https://kawalpemilu.org/h/3174061001162,null,null,null,null,null,null
3174061001163,https://kawalpemilu.org/h/3174061001163,null,null,null,null,null,null
3174061001164,https://kawalpemilu.org/h/3174061001164,null,null,null,null,null,null
3174061001165,https://kawalpemilu.org/h/3174061001165,null,null,null,null,null,null
3174061001166,https://kawalpemilu.org/h/3174061001166,null,null,null,null,null,null
3174061001167,https://kawalpemilu.org/h/3174061001167,null,null,null,null,null,null
3174061001168,https://kawalpemilu.org/h/3174061001168,null,null,null,null,null,null
3174061001169,https://kawalpemilu.org/h/3174061001169,null,null,null,null,null,null
3174061001170,https://kawalpemilu.org/h/3174061001170,null,null,null,null,null,null
3174061001171,https://kawalpemilu.org/h/3174061001171,null,null,null,null,null,null
3174061001172,https://kawalpemilu.org/h/3174061001172,null,null,null,null,null,null
3174061001173,https://kawalpemilu.org/h/3174061001173,null,null,null,null,null,null
3174061001174,https://kawalpemilu.org/h/3174061001174,null,null,null,null,null,null
3174061001175,https://kawalpemilu.org/h/3174061001175,null,null,null,null,null,null
3174061001176,https://kawalpemilu.org/h/3174061001176,null,null,null,null,null,null
3174061001177,https://kawalpemilu.org/h/3174061001177,null,null,null,null,null,null
3174061001178,https://kawalpemilu.org/h/3174061001178,null,null,null,null,null,null
3174061001179,https://kawalpemilu.org/h/3174061001179,null,null,null,null,null,null
3174061001180,https://kawalpemilu.org/h/3174061001180,null,null,null,null,null,null
3174061001181,https://kawalpemilu.org/h/3174061001181,null,null,null,null,null,null
3174061001182,https://kawalpemilu.org/h/3174061001182,null,null,null,null,null,null
3174061001183,https://kawalpemilu.org/h/3174061001183,null,null,null,null,null,null
3174061001184,https://kawalpemilu.org/h/3174061001184,null,null,null,null,null,null
3174061001185,https://kawalpemilu.org/h/3174061001185,null,null,null,null,null,null
3174061001186,https://kawalpemilu.org/h/3174061001186,null,null,null,null,null,null
3174061001187,https://kawalpemilu.org/h/3174061001187,null,null,null,null,null,null
3174061001188,https://kawalpemilu.org/h/3174061001188,null,null,null,null,null,null
3174061005001,https://kawalpemilu.org/h/31740610051,null,null,null,61,86,67
3174061005002,https://kawalpemilu.org/h/31740610052,null,null,null,61,96,26
3174061005003,https://kawalpemilu.org/h/31740610053,null,null,null,140,79,25
3174061005004,https://kawalpemilu.org/h/31740610054,null,null,null,94,75,43
3174061005005,https://kawalpemilu.org/h/31740610055,null,null,null,81,94,58
